,Topic Id,Unbiased_Size_2_KeyPhrases,Unbiased_Size_2_Phrase_Scores
0,5,"['use drones', 'drones use', 'drones coming', 'drones us', 'see drone', 'drones drones', 'drones employed', 'deploying drones', 'used drones', 'aerial surveillance']","[('use drones', 0.6331), ('drones use', 0.6124), ('drones coming', 0.606), ('drones us', 0.5971), ('see drone', 0.5858), ('drones drones', 0.5805), ('drones employed', 0.5707), ('deploying drones', 0.5701), ('used drones', 0.5678), ('aerial surveillance', 0.5665)]"
1,0,"['carolina election', 'carolina polling', 'election fraud', 'voter fraud', 'voting fraud', 'carolina voted', 'carolina politicians', 'integrity elections', 'susceptibility elections', 'neb reelection']","[('carolina election', 0.6033), ('carolina polling', 0.5746), ('election fraud', 0.5731), ('voter fraud', 0.557), ('voting fraud', 0.5354), ('carolina voted', 0.5312), ('carolina politicians', 0.5138), ('integrity elections', 0.5098), ('susceptibility elections', 0.5057), ('neb reelection', 0.5008)]"
2,4,"['airstrikes syria', 'targets syria', 'strikes syria', 'russian airstrikes', 'attack syria', 'strike syria', 'airstrikes isil', 'militants syria', 'airstrikes targeting', 'forces syria']","[('airstrikes syria', 0.6968), ('targets syria', 0.6345), ('strikes syria', 0.604), ('russian airstrikes', 0.5975), ('attack syria', 0.5921), ('strike syria', 0.5726), ('airstrikes isil', 0.5718), ('militants syria', 0.569), ('airstrikes targeting', 0.5683), ('forces syria', 0.5676)]"
3,3,"['filming video', 'video incident', 'cameras police', 'surveillance video', 'video recorded', 'person filming', 'man filming', 'recording incident', 'police interviewed', 'stop filming']","[('filming video', 0.568), ('video incident', 0.5551), ('cameras police', 0.5447), ('surveillance video', 0.5289), ('video recorded', 0.5278), ('person filming', 0.5232), ('man filming', 0.5225), ('recording incident', 0.5196), ('police interviewed', 0.5099), ('stop filming', 0.5068)]"
4,1,"['impeachment schiff', 'impeachment hearings', 'escalates impeachment', 'trump impeachment', 'updates impeachment', 'impeachment process', 'fight impeachment', 'impeachment trump', 'impeachment political', 'impeachment push']","[('impeachment schiff', 0.5961), ('impeachment hearings', 0.5637), ('escalates impeachment', 0.5401), ('trump impeachment', 0.5255), ('updates impeachment', 0.5154), ('impeachment process', 0.5141), ('fight impeachment', 0.5135), ('impeachment trump', 0.5133), ('impeachment political', 0.5067), ('impeachment push', 0.5066)]"
5,2,"['coronavirus back', 'coronavirus us', 'back coronavirus', 'coronavirus continued', 'coronavirus nearly', 'get coronavirus', 'coronavirus pandemic', 'deal coronavirus', 'coronavirus crisis', 'ignored coronavirus']","[('coronavirus back', 0.6792), ('coronavirus us', 0.6447), ('back coronavirus', 0.6441), ('coronavirus continued', 0.643), ('coronavirus nearly', 0.6383), ('get coronavirus', 0.6381), ('coronavirus pandemic', 0.636), ('deal coronavirus', 0.6358), ('coronavirus crisis', 0.6343), ('ignored coronavirus', 0.6277)]"
6,6,"['schools charter', 'schools vouchers', 'charter schools', 'funded schools', 'funded vouchers', 'charter school', 'education savings', 'voucher charter', 'voucher programs', 'funding school']","[('schools charter', 0.6628), ('schools vouchers', 0.6385), ('charter schools', 0.6369), ('funded schools', 0.601), ('funded vouchers', 0.5853), ('charter school', 0.5562), ('education savings', 0.5518), ('voucher charter', 0.5456), ('voucher programs', 0.5327), ('funding school', 0.5277)]"
7,-1,"['gun legislation', 'gun debate', 'restrictions guns', 'gun compromise', 'gun politics', 'legislation shooting', 'gun control', 'gun provision', 'debate gun', 'guns wednesday']","[('gun legislation', 0.6693), ('gun debate', 0.6096), ('restrictions guns', 0.5926), ('gun compromise', 0.5746), ('gun politics', 0.5738), ('legislation shooting', 0.5442), ('gun control', 0.5387), ('gun provision', 0.5314), ('debate gun', 0.5294), ('guns wednesday', 0.5099)]"
