,Topic Id,Unbiased_Size_3_KeyPhrases,Unbiased_Size_3_Phrase_Scores
0,5,"['drones us airspace', 'security see drone', 'domestically used drones', 'drones coming america', 'use drones us', 'threat use drones', 'drones among police', 'aerial surveillance american', 'constitutional values drones', 'drones use overseas']","[('drones us airspace', 0.6909), ('security see drone', 0.6711), ('domestically used drones', 0.6656), ('drones coming america', 0.6642), ('use drones us', 0.6569), ('threat use drones', 0.6443), ('drones among police', 0.6404), ('aerial surveillance american', 0.6181), ('constitutional values drones', 0.6028), ('drones use overseas', 0.602)]"
1,0,"['north carolina election', 'elections north carolina', 'election interference harris', 'carolina election board', 'election fraud tied', 'possible election fraud', 'election fraud fraud', 'voter fraud long', 'carolina congressional race', 'board elections north']","[('north carolina election', 0.6431), ('elections north carolina', 0.6339), ('election interference harris', 0.6166), ('carolina election board', 0.6118), ('election fraud tied', 0.5832), ('possible election fraud', 0.562), ('election fraud fraud', 0.551), ('voter fraud long', 0.5508), ('carolina congressional race', 0.5498), ('board elections north', 0.5484)]"
2,4,"['airstrikes syria russian', 'airstrikes syria many', 'russian airstrikes targeting', '20 airstrikes syria', 'airstrikes isil syria', 'concerns russian airstrikes', 'syria many attacks', 'targets syria opposition', 'rebels russian airstrikes', 'syria military strikes']","[('airstrikes syria russian', 0.7282), ('airstrikes syria many', 0.7137), ('russian airstrikes targeting', 0.6784), ('20 airstrikes syria', 0.6706), ('airstrikes isil syria', 0.6563), ('concerns russian airstrikes', 0.6449), ('syria many attacks', 0.6401), ('targets syria opposition', 0.6387), ('rebels russian airstrikes', 0.6368), ('syria military strikes', 0.6178)]"
3,3,"['police released video', 'filming video posted', 'posted video incident', 'person filming video', 'picture recording incident', 'officer darren wilson', 'video incident online', 'body cameras police', 'video released charges', 'wilson ferguson police']","[('police released video', 0.6263), ('filming video posted', 0.6054), ('posted video incident', 0.54), ('person filming video', 0.5358), ('picture recording incident', 0.5355), ('officer darren wilson', 0.5345), ('video incident online', 0.5333), ('body cameras police', 0.5252), ('video released charges', 0.5227), ('wilson ferguson police', 0.5225)]"
4,1,"['updates impeachment schiff', 'impeachment schiff fires', 'impeachment hearings calif', 'scaliselive updates impeachment', 'trump impeachment hearings', 'impeachment inquiry progressive', 'impeachment fact 2020', 'hearings calif house', 'whistleblower schiff gop', 'balk lengthy impeachment']","[('updates impeachment schiff', 0.5969), ('impeachment schiff fires', 0.5912), ('impeachment hearings calif', 0.5776), ('scaliselive updates impeachment', 0.5657), ('trump impeachment hearings', 0.5589), ('impeachment inquiry progressive', 0.5386), ('impeachment fact 2020', 0.5367), ('hearings calif house', 0.5283), ('whistleblower schiff gop', 0.5265), ('balk lengthy impeachment', 0.5233)]"
5,2,"['back coronavirus pandemic', 'entirely back coronavirus', 'coronavirus vaccine backed', 'back pre coronavirus', 'coronavirus fauci said', 'nation recover coronavirus', 'america reopens coronavirus', 'current coronavirus crisis', 'coronavirus united states', 'deal coronavirus pandemic']","[('back coronavirus pandemic', 0.7143), ('entirely back coronavirus', 0.6891), ('coronavirus vaccine backed', 0.6752), ('back pre coronavirus', 0.6733), ('coronavirus fauci said', 0.6717), ('nation recover coronavirus', 0.6702), ('america reopens coronavirus', 0.669), ('current coronavirus crisis', 0.6678), ('coronavirus united states', 0.6675), ('deal coronavirus pandemic', 0.6625)]"
6,6,"['charter schools vouchers', 'supporting charter schools', 'support charter schools', 'charter school options', 'voucher charter school', 'public charter schools', 'charter school advocates', 'schools charter schools', 'ways charter schools', 'charter school programs']","[('charter schools vouchers', 0.7707), ('supporting charter schools', 0.7253), ('support charter schools', 0.7236), ('charter school options', 0.698), ('voucher charter school', 0.6856), ('public charter schools', 0.6799), ('charter school advocates', 0.6681), ('schools charter schools', 0.6636), ('ways charter schools', 0.6633), ('charter school programs', 0.6632)]"
7,-1,"['gun control legislation', 'gun control bill', 'gun legislation helpful', 'debate gun control', 'vote gun legislation', 'gun control debate', 'gun related legislation', 'senators stricter gun', 'reaching gun legislation', 'gun legislation decades']","[('gun control legislation', 0.7049), ('gun control bill', 0.7043), ('gun legislation helpful', 0.6785), ('debate gun control', 0.673), ('vote gun legislation', 0.6608), ('gun control debate', 0.655), ('gun related legislation', 0.653), ('senators stricter gun', 0.6454), ('reaching gun legislation', 0.6435), ('gun legislation decades', 0.6273)]"
